Q86XS5 ANGPTL5
Q8NI99 ANGPTL6
O43827 ANGPTL7
Q6UXH0 ANGPTL8
Q15389 ANGPT1
O15123 ANGPT2
Q9Y264 ANGPT4
P01019 AGT
E9PGG2 ANHX
P16157 ANK1
Q01484 ANK2
Q12955 ANK3
Q7Z5J8 ANKAR
Q9NU02 ANKEF1
Q8N957 ANKFN1
Q8IWZ3 ANKHD1
Q9HCJ1 ANKH
Q8NFD2 ANKK1
Q8NAG6 ANKLE1
Q86XL3 ANKLE2
Q15327 ANKRD1
Q9GZV1 ANKRD2
Q9Y2G4 ANKRD6
Q92527 ANKRD7
Q96BM1 ANKRD9
Q6ZW76 ANKS3
Q68DC2 ANKS6
A6NFN9 ANKUB1
Q9P2S6 ANKMY1
Q8IV38 ANKMY2
Q9H8Y5 ANKZF1
Q9NQW6 ANLN
Q99873 PRMT1
P55345 PRMT2
O60678 PRMT3
O14744 PRMT5
Q96LA8 PRMT6
Q9NVM4 PRMT7
Q9NR22 PRMT8
Q6P2P2 PRMT9
Q9NW15 ANO10
Q5XXA6 ANO1
Q9NQ90 ANO2
Q9BYT9 ANO3
Q32M45 ANO4
Q75V66 ANO5
Q4KMQ2 ANO6
Q6IWH7 ANO7
Q9HCE9 ANO8
A1A5B4 ANO9
P16066 NPR1
P20594 NPR2
P17342 NPR3
Q9NXR5 ANKRD10
Q6UB99 ANKRD11
Q6UB98 ANKRD12
Q6P6B7 ANKRD16
O75179 ANKRD17
Q9H560 ANKRD19P
Q5VYY1 ANKRD22
Q86SG2 ANKRD23
Q8TF21 ANKRD24
Q9UPS8 ANKRD26
Q96NW4 ANKRD27
O15084 ANKRD28
Q8N6D5 ANKRD29
Q8N7Z5 ANKRD31
Q7Z3H0 ANKRD33
Q8N283 ANKRD35
Q7Z713 ANKRD37
Q53RE8 ANKRD39
Q6AI12 ANKRD40
Q8N9B4 ANKRD42
Q8N8A2 ANKRD44
Q5TZF3 ANKRD45
Q86W74 ANKRD46
Q8WVL7 ANKRD49
Q9ULJ7 ANKRD50
Q8NB46 ANKRD52
Q8N9V6 ANKRD53
Q6NXT1 ANKRD54
Q3KP44 ANKRD55
Q9BZ19 ANKRD60
A6NGH8 ANKRD61
A6NC57 ANKRD62
C9JTQ0 ANKRD63
E5RJM6 ANKRD65
B4E2M5 ANKRD66
Q9H9E1 ANKRA2
Q92625 ANKS1A
Q7Z6G8 ANKS1B
Q8N8V4 ANKS4B
P01008 SERPINC1
Q9H6X2 ANTXR1
P58335 ANTXR2
A6NF34 ANTXRL
Q9UJ72 ANXA10
P50995 ANXA11
P27216 ANXA13
P04083 ANXA1
P07355 ANXA2
P12429 ANXA3
P09525 ANXA4
P08758 ANXA5
P08133 ANXA6
P20073 ANXA7
P13928 ANXA8
O76027 ANXA9
P28039 AOAH
P19801 AOC1
O75106 AOC2
Q16853 AOC3
P21397 MAOA
P27338 MAOB
Q06278 AOX1
O60641 SNAP91
Q63HQ0 AP1AR
Q10567 AP1B1
O43747 AP1G1
O75843 AP1G2
Q9BXS5 AP1M1
Q9Y6Q5 AP1M2
P61966 AP1S1
P56377 AP1S2
Q96PC3 AP1S3
O95782 AP2A1
O94973 AP2A2
P05549 TFAP2A
P63010 AP2B1
Q92481 TFAP2B
Q92754 TFAP2C
Q7Z6R9 TFAP2D
Q6VUC0 TFAP2E
Q96CW1 AP2M1
P53680 AP2S1
O00203 AP3B1
Q13367 AP3B2
O14617 AP3D1
Q9Y2T2 AP3M1
P53677 AP3M2
Q92572 AP3S1
P59780 AP3S2
Q96N21 ENTHD2
P50583 NUDT2
Q9Y6B7 AP4B1
Q9UPM8 AP4E1
O00189 AP4M1
Q9Y587 AP4S1
Q2VPB7 AP5B1
Q9H0R1 AP5M1
Q9NUS5 AP5S1
O43299 AP5Z1
O14727 APAF1
Q02410 APBA1
Q99767 APBA2
O96018 APBA3
O00213 APBB1
Q92870 APBB2
O95704 APBB3
Q92624 APPBP2
Q9UM13 ANAPC10
Q9NYG5 ANAPC11
Q9BS18 ANAPC13
P60006 ANAPC15
Q96DE5 ANAPC16
Q9H1A4 ANAPC1
O95996 APC2
Q9UJX5 ANAPC4
Q9UJX4 ANAPC5
Q9UJX3 ANAPC7
Q8J025 APCDD1
Q8NCL9 APCDD1L
P25054 APC
Q9ULZ1 APLN
P27695 APEX1
Q9UBZ4 APEX2
Q96BI3 APH1A
Q8WW43 APH1B
Q9BZZ5 API5
P35414 APLNR
Q96LR9 APOLD1
Q8IW19 APLF
P51693 APLP1
Q06481 APLP2
Q9HDC9 APMAP
P02647 APOA1
P02652 APOA2
P06727 APOA4
Q6Q788 APOA5
P08519 LPA
Q0VD83 APOBR
P04114 APOB
P02654 APOC1
P02655 APOC2
P02656 APOC3
P55056 APOC4
P05090 APOD
P02649 APOE
Q13790 APOF
P02749 APOH
O14791 APOL1
Q9BQE5 APOL2
O95236 APOL3
Q9BPW4 APOL4
Q9BWW9 APOL5
Q9BWW8 APOL6
O95445 APOM
Q96IL0 APOPT1
Q8IVJ8 APRG1
F7VJQ1 PRNP
Q53RT3 ASPRV1
Q13794 PMAIP1
Q7Z2E3 APTX
P07741 APRT
Q8IXF9 AQP12A
A6NM10 AQP12B
Q96PS8 AQP10
Q8NBQ7 AQP11
P29972 AQP1
P41181 AQP2
Q92482 AQP3
P55087 AQP4
P55064 AQP5
Q13520 AQP6
A6NL99 AQP7P3
O14520 AQP7
O94778 AQP8
O43315 AQP9
O60306 AQR
Q5H913 ARL13A
Q3SXY8 ARL13B
Q6NSI1 ANKRD26P1
Q9Y2Y0 ARL2BP
Q15041 ARL6IP1
Q66PJ3 ARL6IP4
Q8N6S5 ARL6IP6
P10398 ARAF
Q6UW56 ATRAID
Q96P48 ARAP1
Q8WZ64 ARAP2
Q8WWN8 ARAP3
Q96IT6 ARHGAP5-AS1
P25098 ADRBK1
P35626 ADRBK2
Q92747 ARPC1A
O15143 ARPC1B
Q8IWT0 ZBTB8OS
Q7LC44 ARC
P15514 AREG
O15033 AREL1
P84077 ARF1
P61204 ARF3
P18085 ARF4
P84085 ARF5
P62330 ARF6
Q8N6T3 ARFGAP1
Q8N6H7 ARFGAP2
Q9NP61 ARFGAP3
P53367 ARFIP1
P53365 ARFIP2
Q13795 ARFRP1
Q8N726 CDKN2A
