Entry	Gene names
P08133	ANXA6 ANX6
P13928	ANXA8 ANX8
O95782	AP2A1 ADTAA CLAPA1
Q96CW1	AP2M1 CLAPM1 KIAA0109
Q13367	AP3B2
Q9Y6B7	AP4B1
Q9H0R1	AP5M1 C14orf108 MUDENG
Q9NUS5	AP5S1 C20orf29
O96018	APBA3 MINT3 X11L2
Q96DE5	ANAPC16 C10orf104 CENP-27
Q96BI3	APH1A PSF CGI-78 UNQ579/PRO1141
Q06481	APLP2 APPL2
P06727	APOA4
P02649	APOE
O14791	APOL1 APOL
A6NM10	AQP12B
A6NL99	AQP7P3
O60306	AQR KIAA0560
Q6UW56	ATRAID APR3 C2orf28 HSPC013 UNQ214/PRO240
Q8N6T3	ARFGAP1 ARF1GAP
P78540	ARG2
Q9NWB6	ARGLU1
Q9NR81	ARHGEF3
Q15052	ARHGEF6 COOL2 KIAA0006 PIXA
