Q9UI15	TAGLN3
Q7L7X3	TAOK1
Q9UL54-2	TAOK2
Q4KMP7	TBC1D10B
Q99426	TBCB
Q15369	ELOC
Q15370-2	ELOB
Q13428-4	TCOF1
P17987	TCP1
Q00059	TFAM
Q8WVM0	TFB1M
P48307	TFPI2
P02786	TFRC
P07996	THBS1
Q9UPZ6	THSD7A
Q96EY4	TMA16
P49755	TMED10
Q9UIK5	TMEFF2
Q24JP5-2	TMEM132A
Q9NZR1	TMOD2
P63313	TMSB10
P62328	TMSB4X
Q9UKE5	TNIK
O94826	TOMM70
P11387	TOP1
P11388-4	TOP2A
Q02880	TOP2B
P60174	TPI1
P09493-3	TPM1
P06753-2	TPM3
P67936	TPM4
P13693	TPT1
P62995	TRA2B
Q12931	TRAP1
Q9C040-2	TRIM2
P19474	TRIM21
P36406	TRIM23
Q13263	TRIM28
O75382	TRIM3
Q2Q1W2	TRIM71
O75962	TRIO
Q7L0Y3	TRMT10C
Q9BVS5	TRMT61B
Q2NL82	TSR1
Q71U36	TUBA1A
P68363	TUBA1B
F5H5D3	TUBA1C
P07437	TUBB
Q13885	TUBB2A
Q9BVA1	TUBB2B
Q13509	TUBB3
P04350	TUBB4A
P68371	TUBB4B
Q9BUF5	TUBB6
P49411	TUFM
P10599	TXN
Q01081-2	U2AF1
P26368	U2AF2
O15042	U2SURP
P22314	UBA1
Q14157-5	UBAP2L
P61088	UBE2N
Q5T4S7-2	UBR4
P09936	UCHL1
Q9C0B0	UNK
Q9BZI7	UPF3B
P45974	USP5
Q9Y3A2	UTP11
Q9BVJ6	UTP14A
F8WCA0	VAMP2
Q9ULK5	VANGL2
Q9P0L0-2	VAPA
P26640	VARS
Q99536	VAT1
Q9HCJ6	VAT1L
P18206	VCL
P55072	VCP
P21796	VDAC1
P45880-1	VDAC2
Q9Y277-2	VDAC3
O15240	VGF
P08670	VIM
Q9UN37	VPS4A
P23381	WARS
Q9Y2W2	WBP11
O75083	WDR1
Q9UBH6	XPR1
P13010	XRCC5
P12956	XRCC6
P67809	YBX1
P31946-2	YWHAB
P62258	YWHAE
P61981	YWHAG
Q04917	YWHAH
P27348	YWHAQ
P63104	YWHAZ
Q96GY0	ZC2HC1A
Q86VM9	ZC3H18
Q9NP64	ZCCHC17
Q96ME7	ZNF512
O00488	ZNF593
Q9Y5V0	ZNF706
P02769	FBF1
P08107	HSPA1B
P19909	spg
P01870	
B1AM49	ELAVL2
Q1RMN8	IGL
E7EW49	CLASP2
P00761	
B99907	
P03988	
P02662	CSN1S1
P02754	LGB
P02663	CSN1S2
P02666	CSN2
P01840	
E7EV46	ERCC6
P02668	CSN3
P00711	LALBA
E9PRG8	C11orf98
Q9UNZ5	C19orf53
P01847	
P01683	
P01686	
Q5T8I3	FAM102B
