TPS2:  TPSAB1 TPSB2
XAP4:  GDI1 RBCK1
XAP3:  RBCK1 ATP6AP1
FRP:  FSTL1 SFRP1 FRZB
BTF2:  BTN2A2 GTF2H1
BTF3:  BTN3A2 BTN3A3 BTF3
CCN1:  CCNA2 CYR61
HCA1:  HCAR1 MAGEE1
HCA2:  HCAR2 MAGEC3
HCA3:  HCAR3 MAGEE2
PSG11:  PSG11 PSG9
DLG3:  DLG3 MPP3
DLG4:  DLG4 LLGL1
ADRA1A:  ADRA1A ADRA1D
EIF3A:  EIF3A EIF6
INPP5E:  INPP5E PMPCA
APRIL:  ANP32B TNFSF13
GRIK2:  GRIK2 GRIK5
GIG1:  CYR61 NKG7 TPP1
GIG2:  CD9 TRIB1
BART:  ARL2BP BSND
INPP5F:  OCRL INPP5F
CASK:  CSN3 CASK
CAST:  CAST CD3EAP
HCC1:  RBM39 SARNP
MRG1:  CITED2 MEIS2
MRG2:  CITED4 MEIS3
ADAM23:  ADAM23 ADAM28
TTF2:  FOXE1 TTF2
TTF1:  NKX2-1 TTF1
CPT1:  CHPT1 CPT1A CPT2
PMS4:  PMS2P2 PMS2P5
GRIP1:  GRIP1 LGALS12
BRAP:  BRAP C6orf89
AMAC1:  CCL18 SLC35G3
BNSP:  SPP1 IBSP
RP1:  MAPRE2 RP1 STK19
POB1:  REPS2 TRIM37
TC1:  C8orf4 TCN1
HIS1:  HEXIM1 HTN1
RAX:  PRKRA RAX
HE2:  SPAG11A SPAG11B
HET:  SLC22A18 SAFB
ALDC:  ALDH1A1 ALDOC
POLH:  POLQ POLH
SPIN1:  SPIN1 SPNS1
SPIN2:  SPIN2A SPIN2B
LPD:  ACSBG1 RAPH1
SMAM1:  SERF1A SERF1B
PRL3:  SMR3B PTP4A3
IK1:  IKZF1 KCNN4
STAG1:  PMEPA1 STAG1
HOX1D:  HOXA4 HOXD3
C6orf37:  DPCR1 FAM46A
USP17M:  USP17L2 USP17L24
TIM1:  HAVCR1 TIMELESS
MED1:  MBD4 MED1
TCF4:  TCF4 TCF7L2
TCF1:  HNF1A TCF7
TCF3:  TCF7L1 TCF3
POP4:  NLRP2P POP4
PEPP2:  PLEKHA5 RHOXF2
PEPP1:  PLEKHA4 RHOXF1
SYT14L:  SYT14P1 SYT16
PRG2:  PLPPR3 PRG2 PXDN
CD32:  FCGR2A FCGR2B FCGR2C
SRC2:  FGR NCOA2
SRC1:  NCOA1 SRC
DEF3:  DEFA3 RBM6
MAGE2:  MAGEA2 MAGEA2B
MAFA:  KLRG1 MAFA
FATP1:  SLC27A1 SLC27A6
CCR10:  ACKR2 CCR10
CCR11:  ACKR4 CCRL2
RBP1:  ARID4A RBP1 TSPOAP1
RBP2:  KDM5A RBP2 RIMBP2
RBP5:  CRABP1 RBP5
PSG9:  PSG4 PSG9
RHOI:  DIRAS3 RHOJ
TRAF2:  TANK TRAF2
POLR1E:  POLR1E POLR1C
HRS:  HGS SRSF5 HARS
HSD11:  HSD11B1 KNSTRN
SEF:  IL17RD TFCP2
and:  AMY1A AMY1B ARL17A BOLA2 CALM1 CALM2 C2orf27A CCL4L1 CDY1 CDY2A CGB3 CGB5 CCL3L1 C4B CSAG2 CT47A1 CT47A2 CT47A3 CT47A4 CT47A5 CT47A6 CT47A7 CT47A8 CT47A9 CT47A10 CT47A11 CTAG1A CXorf49 DEFB103A DEFB104A DEFB105A DEFB106A DEFB107A DEFB108P1 DEFB109P1 DEFB130 DEFA1 DEFB4A DMRTC1 FAM25D FAM74A1 F8A1 F8A2 FAM90A16P FAM90A18P FAM156A FAM27B FAM74A4 GAGE2B GAGE12B GAGE12C GAGE12D GAGE2D GOLGA8F HIST1H2AB HIST1H2AG HIST1H2AI HIST1H2AK HIST1H2AL HIST2H2AA3 H2AFB2 HIST1H2BC HIST1H2BE HIST1H2BF HIST1H2BG HIST1H3A HIST1H3B HIST1H3C HIST1H3D HIST1H3E HIST1H3F HIST1H3G HIST1H3H HIST1H3I HIST2H3A HIST2H3C H3F3A HIST1H4A HIST1H4B HIST1H4C HIST1H4D HIST1H4E HIST1H4F HIST1H4H HIST1H4I HIST1H4J HIST1H4K HIST1H4L HIST2H4A HIST2H4B HBA1 HSFX1 HSFY1 IFNA1 CKMT1A LGALS7 SPACA5 MAGEA2 MAGEA9 MAGED4 MMP23A NXF2 OR2A1 OR4F3 OR4F16 PABPC1L2A PLGLB1 PRAMEF9 PRH1 PRY PRY2 PRYP3 RBMY1F RGPD5 RPL9 RPL9P7 RPL9P8 SERF1A SLX1A SMN1 SPANXA1 SSX2 SSX4 GTF2H2C TP53TG3 TP53TG3B TP53TG3C TP53TG3D TP53TG3E TUBA3C TEX28 TEX28P1 TRIM49D1 USP17L24 USP17L25 USP17L26 USP17L27 USP17L28 USP17L29 VCY BPY2 BPY2B XAGE1A XAGE1B XAGE1C XAGE1D
CCBP2:  ACKR2 ACKR4
MAST1:  CLASP1 MAST1
DDH1:  AKR1C1 AKR1C3
MUM1:  IRF4 MUM1
DEFB4:  DEFB104A DEFB4A
FLOT1:  FLOT1 SLC19A1
G18:  CISH GPSM3
G17:  PBX2 SLC38A3
CAC1:  CACUL1 TMEM54
LAG1:  CCL4L1 CCL4 CERS1
NET1:  NET1 SLC6A2 SLC6A5
KRTAP5-8:  KRTAP5-2 KRTAP5-8
KRTAP5-9:  KRTAP5-3 KRTAP5-9
ECO:0000303|Ref.6}:  IGHV1-46 IGHV1-69 IGHV2-70 IGLV1-51
AK3L1:  AK3 AK4
ARP5:  ANGPTL6 ACTR5
ARP4:  ANGPTL4 ACTR3B
ARP1:  ANGPTL1 ARFRP1 NR2F2 PITX2
ARP2:  ANGPTL2 ACTR2
CBG:  SERPINA6 GBA3
CBP:  CREBBP PAG1
DAP1:  DAP DLGAP1
DAP4:  DLGAP4 THAP12
MASK:  ANKHD1 STK26
